Posicao,Nome,Total_Proposicoes,Total_Autorias,Tipos_Proposicoes
514,Lázaro Botelho,2,2,"PEC"
515,Dr. Daniel Soranz,2,2,"PL"
516,Luiz Antonio Corrêa,1,1,"PEC"
517,Pastor Claudio Mariano,1,1,"PEC"
518,Keniston Braga,1,1,"PEC"
519,Luis Tibé,1,1,"PEC"
520,Fabio Reis,1,1,"PL"
521,Tiririca,1,1,"PEC"
522,Hugo Motta,1,1,"PEC"
523,Alexandre Leite,1,1,"PL"
524,Matheus Noronha,1,1,"PEC"
525,André Janones,1,1,"PEC"
526,Marcos Aurélio Sampaio,1,1,"PL"
527,Ricardo Barros,1,1,"PEC"
528,Gabriel Mota,1,1,"PL"
