Posicao,Nome,UF,Total_Proposicoes,Total_Autorias,Tipos_Proposicoes
406,Vicentinho,,7,7,"PEC, PL"
407,Odair Cunha,,7,7,"PEC, PL"
408,Átila Lira,,7,7,"PEC, PL"
409,João Carlos Bacelar,,7,7,"PEC, PL"
410,Baleia Rossi,,7,7,"PEC, PL"
411,Covatti Filho,,7,7,"PEC, PL"
412,Fernando Monteiro,,7,7,"PEC, PL"
413,Raimundo Costa,,7,7,"PEC, PL"
414,Renildo Calheiros,,7,7,"PEC, PL"
415,Elcione Barbalho,,7,7,"PEC"
416,Rubens Otoni,,7,7,"PEC, PL"
417,Marco Brasil,,7,7,"PEC, PL"
418,Carlos Sampaio,,7,7,"PEC, PL"
419,Altineu Côrtes,,7,7,"PEC"
420,Vander Loubet,,7,7,"PEC, PL"
421,Coronel Armando,,7,7,"PEC, PL"
422,Damião Feliciano,,7,7,"PEC"
423,Rafael Fera,,7,7,"PEC, PL"
424,Zezinho Barbary,,7,7,"PEC, PL"
425,Paulo Abi-Ackel,,7,7,"PEC, PL"
426,Adolfo Viana,,7,7,"PEC, PL"
427,Miguel Ângelo,,7,7,"PEC, PL"
428,Paulo Folletto,,7,7,"PEC, PL, PRC"
429,Marcio Alvino,,6,6,"PEC, PL, PLP"
430,Lucas Ramos,,6,6,"PEC, PL, PRC"
431,Júnior Ferrari,,6,6,"PEC, PL"
432,Josivaldo JP,,6,6,"PEC, PL, PLP"
433,Josias Gomes,,6,6,"PEC, PL"
434,Moses Rodrigues,,6,6,"PEC"
435,Newton Cardoso Jr,,6,6,"PEC, PL"
436,Gilberto Nascimento,,6,6,"PEC, PL, PLP, PRC"
437,Paulo Alexandre Barbosa,,6,6,"PEC, PL"
438,Paulo Guedes,,6,6,"PEC, PL, PLP"
439,Paulo Pimenta,,6,6,"PEC, PL"
440,Gervásio Maia,,6,6,"PEC, PL, PRC"
441,Fatima Pelaes,,6,6,"PEC, PL"
442,Eduardo Bolsonaro,,6,6,"PEC, PL"
443,Diego Coronel,,6,6,"PEC, PL"
444,Castro Neto,,6,6,"PEC, PL"
445,Bohn Gass,,6,6,"PEC, PL"
446,Arlindo Chinaglia,,6,6,"PEC, PL, PLP"
447,André Ferreira,,6,6,"PEC"
448,Missionário José Olimpio,,6,6,"PEC, PL"
449,Sonize Barbosa,,6,6,"PEC, PL"
450,Magda Mofatto,,6,6,"PEC, PL"
451,Rui Falcão,,5,5,"PEC, PL"
452,Arnaldo Jardim,,5,5,"PEC, PL, PLP"
453,Junior Lourenço,,5,5,"PEC, PL"
454,Antonio Brito,,5,5,"PEC, PL"
455,José Priante,,5,5,"PEC, PL"
456,Diego Andrade,,5,5,"PEC, PL, PRC"
457,Guilherme Uchoa,,5,5,"PEC, PL, PRC"
458,Samuel Santos,,5,5,"PL"
459,Luciano Alves,,5,5,"PEC, PL"
460,Jeferson Rodrigues,,5,5,"PEC, PL"
461,João Cury,,5,5,"PEC, PL"
462,Lenir de Assis,,5,5,"PEC, PL"
463,Arthur Oliveira Maia,,5,5,"PEC"
464,Átila Lins,,4,4,"PEC"
465,Paulo Magalhães,,4,4,"PEC, PL"
466,Aline Gurgel,,4,4,"PL"
467,Samuel Viana,,4,4,"PEC, PL"
468,Luciano Bivar,,4,4,"PEC, PL"
469,Luis Carlos Gomes,,4,4,"PEC, PL"
470,Ivan Junior,,4,4,"PEC, PL"
471,Dani Cunha,,4,4,"PEC, PL"
472,Aliel Machado,,4,4,"PEC, PL"
473,Olival Marques,,4,4,"PEC"
474,Ricardo Maia,,4,4,"PEC, PL, PLP"
475,Mário Negromonte Jr.,,4,4,"PEC, PL"
476,Misael Varella,,4,4,"PEC"
477,Claudio Cajado,,4,4,"PEC"
478,Lebrão,,4,4,"PEC, PL"
479,José Rocha,,4,4,"PEC"
480,Leur Lomanto Júnior,,4,4,"PEC, PL"
481,Cezinha de Madureira,,4,4,"PEC, PL"
482,Eunício Oliveira,,4,4,"PEC, PL"
483,Danrlei de Deus Hinterholz,,4,4,"PEC, PL"
484,AJ Albuquerque,,3,3,"PEC"
485,Dal Barreto,,3,3,"PEC, PL"
486,Fábio Macedo,,3,3,"PEC, PL"
487,Márcio Biolchi,,3,3,"PEC, PL"
488,Caio Vianna,,3,3,"PEC, PL"
489,Igor Timo,,3,3,"PEC"
490,Carlos Chiodini,,3,3,"PEC, PL"
491,Arthur Lira,,3,3,"PEC, PL"
492,Jorge Braz,,3,3,"PEC"
493,Vinicius Gurgel,,3,3,"PEC"
494,Josimar Maranhãozinho,,3,3,"PEC, PL"
495,Glaustin da Fokus,,3,3,"PEC, PL"
496,Amanda Gentil,,3,3,"PEC, PL"
497,Marreca Filho,,3,3,"PEC, PL"
498,Elmar Nascimento,,3,3,"PEC"
499,Adriano do Baldy,,3,3,"PL"
500,Detinha,,3,3,"PEC, PL"
501,Rodrigo de Castro,,3,3,"PEC"
502,Robério Monteiro,,3,3,"PEC"
503,Juscelino Filho,,2,2,"PL"
504,João Leão,,2,2,"PEC"
505,Gleisi Hoffmann,,2,2,"PEC, PLP"
506,Tiago Dimas,,2,2,"PEC, PL"
